actual,predicted,misclassified,id,organization_id,type,species,age,gender,size,coat,tags,name,description,videos,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,fixed,house_trained,attributes.declawed,special_needs,shots_current,good_with_kids,good_with_dogs,good_with_cats,city,contact.address.state,zipcode,has_photo,days_on_petfinder,polarity,desc_len
Speedy_adoption,Slow_adoption,Yes,46334865,CA1973,Dog,Dog,Adult,Male,Small,,[],Ezra,Meet Ezra! Ezra is a very sweet dog who is patiently waiting for a loving forever home! To get more...,0,2019-11-03 01:22:11+00:00,2019-10-21 04:35:55+00:00,12.3438,Poodle,,0,False,,,,1,0,,0,1,1,1,2,San Francisco,CA,94115.0,1,1.0,0.8306,102
Speedy_adoption,Slow_adoption,Yes,46100985,CA1698,Dog,Dog,Young,Female,Medium,Short,[],BLOUS,"MORE PICS TO COME - THIS IS HER GETTING GROOMED
NAME:   BLOUS
SPAYED 
APX AGE: 6MTHS (DOB 3/17/19)
BREED: GERMAN...",0,2019-09-28 22:11:50+00:00,2019-09-26 19:22:46+00:00,76.2673,German Shepherd Dog,,0,False,Black,Brown / Chocolate,,1,0,,0,1,1,1,1,Gustine,CA,95322.0,1,1.0,0.0,115
Slow_adoption,Speedy_adoption,Yes,46068036,CA781,Dog,Dog,Baby,Male,Small,Wire,[],Davey,"Davey is a very well socialized puppy, happy and cute as cute can be!  His owner has some medical issues...",0,2019-12-30 21:45:36+00:00,2019-09-23 17:38:07+00:00,23.4398,Miniature Schnauzer,,0,False,Brown / Chocolate,,,1,0,,0,1,1,1,2,Redwood City,CA,94061.0,1,0.0,0.9078,107
Speedy_adoption,Slow_adoption,Yes,47143890,CA86,Dog,Dog,Young,Male,Small,Short,[],Toby,"Sweet and handsome Toby is waiting to be your new BFF. He is an 18 month old, almost 16 pound,...",0,2020-01-28 02:03:00+00:00,2020-01-17 20:28:41+00:00,55.978,Beagle,Terrier,1,False,Red / Chestnut / Orange,White / Cream,Yellow / Tan / Blond / Fawn,1,1,,0,1,1,1,0,Lodi,CA,95241.0,1,1.0,0.8964,97
Slow_adoption,Speedy_adoption,Yes,45334407,NV160,Dog,Dog,Senior,Female,Medium,Medium,[],Temy,"Temy is a petite 12 year old beauty, with a lot of energy and zest for life!
She weighs around...",0,2019-08-27 18:44:21+00:00,2019-07-22 14:43:09+00:00,62.6855,Jindo,,0,False,"Tricolor (Brown, Black, & White)",,,1,1,,0,1,1,1,2,Sacramento,CA,95823.0,1,0.0,0.7345,97
Speedy_adoption,Slow_adoption,Yes,44685755,CA1057,Dog,Dog,Adult,Male,Large,,[],NOBLE SHEPHERD: A TRUE GENTLEMAN for ADOPTION,"Bobbie is the German Shepherd of your dreams. No, really.

2-3 years old, Bobbie is a warm, sensitive beauty with...",0,2019-05-22 20:39:16+00:00,2019-05-13 22:19:05+00:00,3.2454,German Shepherd Dog,,0,False,Bicolor,Sable,Yellow / Tan / Blond / Fawn,0,0,,0,1,2,1,2,Oakland,CA,94604.0,1,1.0,0.7351,116
Slow_adoption,Speedy_adoption,Yes,44538568,CA1298,Dog,Dog,Baby,Male,Small,Long,"['puppy', 'small', 'playful', 'cute', 'male']",Renwah,"Renwah is 7 weeks old, weighs 3 pounds at the moment, and is as sweet as can be. His adult...",0,2019-05-30 18:57:16+00:00,2019-04-24 23:54:02+00:00,79.821,Cockapoo,,1,False,White / Cream,,,0,0,,0,1,2,2,2,Roseville,CA,95747.0,1,0.0,0.4588,93
Speedy_adoption,Slow_adoption,Yes,44332622,CA1973,Dog,Dog,Baby,Male,Medium,Short,[],Poka,Meet Poka! Poka is a very sweet dog who is patiently waiting for a loving forever home! To get more...,0,2019-04-04 06:54:55+00:00,2019-03-28 03:48:35+00:00,15.3336,Shepherd,Terrier,1,False,Bicolor,,,1,0,,0,0,1,1,1,San Ramon,CA,94582.0,1,1.0,0.8306,102
Slow_adoption,Speedy_adoption,Yes,48452689,CA522,Dog,Dog,Adult,Male,Large,,[],Kronk,Looking for a loyal and friendly companion? Kronk is looking for a new BFF. This 5-6 year old pitty is...,0,2020-08-05 03:35:10+00:00,2020-07-10 18:24:41+00:00,47.0984,Pit Bull Terrier,,0,False,,,,1,0,,0,1,2,1,2,Rohnert Park,CA,94928.0,1,0.0,0.8986,105
Speedy_adoption,Slow_adoption,Yes,44345962,CA1727,Dog,Dog,Baby,Female,Small,Short,[],Kessie,Many of our newly listed puppies are scheduled to attend Saturday events at Petsmart Almaden Expressway in San Jose from...,0,2019-04-02 03:02:39+00:00,2019-03-30 03:33:15+00:00,38.8997,Terrier,Chihuahua,1,False,Black,White / Cream,Yellow / Tan / Blond / Fawn,1,0,,0,1,2,2,2,San Jose,CA,95125.0,1,1.0,0.0,123
